country,stadiums
Anguilla,2
Antigua and Barbuda,2
Australia,119
Bahamas,1
Bangladesh,23
Barbados,1
Botswana,3
Brunei,1
Cameroon,10
Canada,40
Cyprus,4
Dominica,1
England,180
Falkland Islands,1
Fiji,3
Ghana,9
Grenada,1
Guyana,3
India,179
Jamaica,3
Kenya,10
Lesotho,1
Malawi,4
Malaysia,33
Maldives,1
Malta,1
Mauritius,1
Mozambique,4
Namibia,4
New Zealand,25
Nigeria,43
Pakistan,34
Papua New Guinea,5
Rwanda,3
Samoa,1
Scotland,42
Seychelles,1
Singapore,3
Solomon Islands,1
South Africa,78
Sri Lanka,14
St. Kitts & Nevis,1
St. Lucia,3
St. Vincent,1
Tanzania,13
Tonga,1
Trinidad & Tobago,5
Uganda,3
Wales,52
Zambia,9
