Country Name,1962,1966,1970,1974,1978,1982,1986,1990,1994,1998,2002,2006,2010,2014,2018
Australia,19922723709,27309889125,41337215814,88981577008,1.18536E+11,1.94105E+11,1.82368E+11,3.11327E+11,3.22807E+11,3.99404E+11,3.95343E+11,7.47556E+11,1.14759E+12,1.4675E+12,1.42853E+12
Canada,42227447632,61088384037,87896095320,1.60409E+11,2.18633E+11,3.13507E+11,3.77438E+11,5.9393E+11,5.78139E+11,6.34E+11,7.60649E+11,1.31926E+12,1.61734E+12,1.80575E+12,1.72533E+12
India,42161481859,45865462034,62422483055,99525899116,1.373E+11,2.00715E+11,2.48986E+11,3.20979E+11,3.27276E+11,4.21351E+11,5.14938E+11,9.4026E+11,1.67562E+12,2.03913E+12,2.70111E+12
Kenya,868111400,1164519673,1603447357,2969942180,5303734883,6431579357,7239126717,8572359163,7148145376,14093998844,13147743911,25825524821,45405587557,68285768554,92202956321
New Zealand,6077496268,5863733231,6811136757,13940981798,18530518395,24164603059,30604668357,45495129385,55314732279,56227169851,66627729311,1.11539E+11,1.46518E+11,2.01313E+11,2.12226E+11
Nigeria,4909302954,6366792664,12545849083,24846641318,36527862209,1.42769E+11,54805852581,54035795388,33833042988,54604050168,95385819321,2.36104E+11,3.61457E+11,5.46676E+11,3.9719E+11
South Africa,8497996604,12354995063,18418392640,36807721038,46739449962,78423059790,67521602553,1.15552E+11,1.53513E+11,1.52983E+11,1.29088E+11,3.03861E+11,4.17365E+11,3.81199E+11,4.04842E+11
Scotland,,,,,,,,,,15093387800,16578298800,27438246500,18988611900,20791764800,21730388800
Wales,,,,,,,,,,70298616300,77612552413,86327224456,84002264632,91290018765,1.00416E+11
England,5.89487E+11,7.09008E+11,8.07217E+11,9.06813E+11,9.74192E+11,1.01425E+12,1.14534E+12,1.32219E+12,1.36146E+12,1.55783E+12,1.75419E+12,1.95841E+12,1.95056E+12,2.09456E+12,1.99985E+12
